"url","count"
"blank",98
"policies.google.com/privacy",83
"developers.google.com/youtube",55
"studio.youtube.com",42
"blog.youtube",39
"servicesdirectory.withyoutube.com",39
"artists.youtube.com",39
"vr.youtube.com",39
"socialimpact.youtube.com",39
"blog.youtube/press",38
"tv.youtube.com",38
"tv.youtube.com/learn/nflsundayticket",34
"support.google.com/youtube",34
"twitter.com/youtube",20
"www.instagram.com/youtube",20
"www.facebook.com/youtube",20
"www.google.com/policies/privacy",20
"support.google.com/accounts",17
"support.google.com/youtube/contact/brand_request",16
"research.youtube",11
"support.google.com/youtube/answer/2814000",8
"support.google.com/youtube/answer/10343433",8
"support.google.com/youtube/answer/72431",8
"support.google.com/youtube/answer/57792",8
"support.google.com/youtube/answer/6140493",8
"support.google.com/youtube/answer/6388789",8
"support.google.com/youtube/answer/2972003",8
"support.google.com/youtube/answer/2657964",8
"support.google.com/youtube/answer/141808",8
"blog.youtube/madeonyoutube",7
"policies.google.com",7
"accounts.google.com/tos",6
"studio.youtube.com/channel/c/content/promotions",6
"support.google.com/youtube/community",6
"youtube.com/t/terms",6
"support.google.com/youtube/answer/6345162",6
"myaccount.google.com",6
"policies.google.com/technologies/partner-sites",6
"twitter.com/teamyoutube",5
"www.youtubego.com",5
"support.google.com/youtube/answer/2802027",5
"itunes.apple.com/us/app/youtube-kids/id936971630",4
"play.google.com/store/apps/details",4
"support.google.com/youtube/answer/9783148",4
"support.google.com/youtube/answer/7648743",4
"support.google.com/youtube/thread/175628723",4
"twitter.com/ytcreatorsindia",4
"support.google.com/youtube/answer/7123737",4
"kstatic.googleusercontent.com/files/ca6cedcedfb483018345fba5cfb948c68572f9109cdcb37862d378a41f75feea5f415a737517493958f5ae871bdc49eb7258b0a49fbe98667076db7ce15bc332",4
"kstatic.googleusercontent.com/files/fbe50a8b44a8bd41a014992e8a379a55d0b3ebc7488e3d61271698463a8fc5bf2f6f547e25e8933965c192ac21525e3b0ab73d8d93c8ed3dceabae84525070f2",4
"kstatic.googleusercontent.com/files/9a901194ee9ac746daa955e19a69371a3fa132068e6baa1094682f8578c52443f47b11a47ebec4a27a9390a738140ea10bdb977a2b8ffdd46157d40fa4240341",4
"www.google.co.in/intl/en-gb/about/products",4
"accounts.google.com/servicelogin",4
"support.google.com/youtube/answer/2802032",4
"policies.google.com/terms",4
"policies.google.com/technologies",4
"policies.google.com/privacy/archive",4
